Id,Title,Description,CategoryId,InstructorId,ThumbnailUrl,CreatedAt
a81213af-7180-434e-8c0a-cc1915c35ffa,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",7881BF96-8C1D-41CF-9AE9-98F4368D721C,FFC0AB0E-405B-493C-9398-01B6090E1502,http://dummyimage.com/161x100.png/ff4444/ffffff,2021-02-14 18:16:15
6fa1bd96-29e6-4f98-8f8f-2c5c4432f0fd,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.","Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2D25BB13-3FAC-44BB-B679-670B70B68A6D,FFC0AB0E-405B-493C-9398-01B6090E1502,http://dummyimage.com/194x100.png/cc0000/ffffff,2018-04-23 10:10:26
0f4bf8dc-f0dd-4e32-a265-6e4426991be3,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",28FF410C-AED6-4D4F-A681-9421C7DA17D7,FFC0AB0E-405B-493C-9398-01B6090E1502,http://dummyimage.com/187x100.png/dddddd/000000,2019-02-28 23:23:35
2bc50028-cfee-47a1-8e95-ebb78f9c3574,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.","Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",6F870D35-3181-4C58-8343-F6E00BEF88F6,FFC0AB0E-405B-493C-9398-01B6090E1502,http://dummyimage.com/208x100.png/cc0000/ffffff,2023-03-06 07:04:08
130dc92d-540e-41be-a8fa-333bc39a2051,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.","Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",78299367-B4CB-4BEE-A2CF-B38ED3F6622A,886A7A4D-34F0-47EB-B49B-036BAD307F98,http://dummyimage.com/214x100.png/5fa2dd/ffffff,2024-07-30 19:24:32
ed2b4a9d-236f-4b9e-ad23-695c8a40d724,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",78299367-B4CB-4BEE-A2CF-B38ED3F6622A,4D8D9485-4B02-4807-93C5-048BFE93DD73,http://dummyimage.com/167x100.png/cc0000/ffffff,2020-02-14 01:52:26
e054fa66-879d-4e93-ac3a-564b9e45a4f0,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.","In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",28FF410C-AED6-4D4F-A681-9421C7DA17D7,FFC0AB0E-405B-493C-9398-01B6090E1502,http://dummyimage.com/191x100.png/cc0000/ffffff,2025-07-11 21:04:05
ede8ae78-e0a1-4aa0-bc6b-a2eaa1b3c6ec,Fusce posuere felis sed lacus.,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",2D25BB13-3FAC-44BB-B679-670B70B68A6D,4D8D9485-4B02-4807-93C5-048BFE93DD73,http://dummyimage.com/194x100.png/dddddd/000000,2018-03-04 19:30:47
8281b44e-e783-4383-b870-88f7cfda6159,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.","Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",6F870D35-3181-4C58-8343-F6E00BEF88F6,886A7A4D-34F0-47EB-B49B-036BAD307F98,http://dummyimage.com/156x100.png/ff4444/ffffff,2018-04-02 12:38:23
2c023744-7ad2-48d3-9e03-a971ba46b079,"Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.","Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",7881BF96-8C1D-41CF-9AE9-98F4368D721C,886A7A4D-34F0-47EB-B49B-036BAD307F98,http://dummyimage.com/100x100.png/5fa2dd/ffffff,2018-05-04 22:56:15
